Education,Income,Kidhome,Teenhome,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Spent,Living_Status,Children
0,65031.0,0,1,29,258,107,291,84,37,86,4,10,3,13,7,863,1,1
1,60631.0,1,1,88,565,6,65,0,6,19,5,9,2,8,7,661,1,2
0,28332.0,0,0,58,14,10,13,4,15,9,1,2,1,4,2,65,1,0
0,40246.0,1,0,68,2,1,6,2,1,1,1,1,0,2,6,13,0,1
1,75251.0,0,0,34,721,111,925,97,18,18,1,7,6,5,5,1890,1,0
0,75825.0,0,0,40,1032,105,779,137,105,51,0,5,8,9,4,2209,0,0
2,26326.0,0,0,12,1,0,5,0,3,9,1,0,0,3,3,18,1,0
0,56046.0,0,0,9,577,0,64,0,0,51,2,10,1,8,8,692,1,0
0,29760.0,1,0,87,64,4,68,7,5,17,4,3,1,4,8,165,0,1
0,26304.0,1,0,5,4,1,5,2,0,4,1,1,0,2,7,16,1,1
2,23559.0,1,0,87,25,5,19,7,0,23,3,3,0,3,7,79,1,1
1,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,318,1,0
0,81361.0,0,0,18,163,23,424,27,65,76,1,3,10,13,1,778,0,0
0,29440.0,1,1,95,17,8,14,10,4,3,2,1,0,4,7,56,1,2
1,36138.0,1,1,48,130,0,16,0,0,5,5,3,1,4,7,151,1,2
0,50388.0,0,1,3,292,6,37,0,3,34,4,6,1,6,7,372,0,1
0,79593.0,0,0,70,350,60,568,110,133,145,1,5,6,7,2,1366,1,0
0,54178.0,0,1,79,135,9,39,4,0,7,1,2,2,5,2,194,1,1
1,42394.0,1,0,69,15,2,10,0,1,4,1,1,0,3,7,32,0,1
1,23626.0,1,0,84,27,2,14,0,0,0,3,3,1,3,5,43,1,1
0,30096.0,1,0,30,5,3,11,12,5,9,1,2,0,3,6,45,1,1
0,47916.0,0,1,72,505,0,26,0,0,75,5,7,4,6,6,606,0,1
0,51813.0,1,1,37,51,2,7,0,1,2,2,2,0,3,7,63,0,2
2,78497.0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,978,1,0
1,50150.0,0,0,32,135,46,92,65,61,11,2,5,2,7,5,410,1,0
2,47823.0,0,1,0,53,1,5,2,1,10,2,2,0,3,8,72,0,1
1,34554.0,0,1,43,41,1,6,2,0,5,2,2,0,3,6,55,0,1
0,85693.0,0,1,59,386,172,183,185,132,111,2,9,5,11,5,1169,1,1
1,65846.0,0,0,68,562,81,276,80,40,81,1,6,3,6,4,1120,1,0
0,87195.0,0,0,35,217,76,690,50,26,38,1,3,11,5,1,1097,1,0
2,24594.0,1,0,94,1,3,6,10,0,9,1,1,0,3,5,29,1,1
0,49096.0,1,1,15,144,1,32,2,1,7,4,4,1,4,7,187,1,2
0,52413.0,0,2,56,295,106,271,75,98,65,4,6,4,12,6,910,1,2
0,38557.0,1,0,17,76,3,31,4,4,27,2,3,1,3,7,145,0,1
1,89058.0,0,0,18,454,194,106,31,22,43,1,5,4,4,2,850,1,0
0,77298.0,0,1,46,425,115,292,23,35,79,1,6,6,11,3,969,1,1
1,68126.0,0,0,40,1332,17,311,23,51,86,1,7,4,5,9,1820,0,0
1,57288.0,0,1,27,527,0,21,0,0,60,3,8,1,8,6,608,1,1
0,86037.0,0,0,95,490,44,125,29,20,22,1,6,7,11,3,730,0,0
1,43974.0,1,0,19,378,0,101,0,0,72,5,6,4,6,7,551,1,1
0,50785.0,1,1,27,64,1,21,0,1,27,2,2,1,3,6,114,0,2
0,90765.0,0,0,25,547,99,812,151,82,33,0,4,6,5,1,1724,1,0
2,36550.0,1,0,74,47,90,94,123,103,120,5,9,1,5,9,577,1,1
2,30753.0,1,1,85,12,5,25,0,9,30,2,1,1,3,5,81,1,2
0,21918.0,1,0,37,1,6,7,11,5,3,2,2,0,3,6,33,1,1
1,56129.0,0,1,65,320,48,133,39,72,48,4,6,2,10,4,660,1,1
1,32557.0,1,0,13,34,3,29,0,4,10,3,2,1,3,5,80,0,1
1,19510.0,2,0,63,9,0,7,3,4,7,2,1,0,3,7,30,1,2
0,30992.0,1,0,83,17,0,14,7,3,2,1,1,0,3,7,43,0,1
0,101970.0,0,0,69,722,27,102,44,72,168,0,6,8,13,2,1135,0,0
2,71488.0,0,0,87,162,33,124,40,28,172,2,3,4,7,1,559,1,0
0,79607.0,0,0,37,450,133,951,173,0,216,1,3,6,6,1,1923,0,0
1,54348.0,1,1,51,70,0,16,0,0,4,2,2,0,4,6,90,1,2
1,77376.0,1,1,72,492,19,110,16,12,12,4,6,3,10,4,661,1,2
0,62998.0,0,1,10,120,58,73,65,89,58,5,5,4,5,5,463,1,1
1,61331.0,1,1,42,534,5,47,0,5,41,5,11,1,6,8,632,0,2
0,73448.0,0,0,10,236,106,189,23,41,130,1,7,2,9,4,725,1,0
1,41551.0,1,1,51,220,0,33,3,0,23,5,5,1,5,8,279,1,2
1,62981.0,0,0,21,796,14,590,38,44,0,1,4,5,13,3,1482,1,0
2,9548.0,1,0,31,0,1,3,10,6,9,2,1,0,3,8,29,0,1
1,33762.0,2,1,61,53,1,34,2,0,16,3,2,2,2,8,106,1,3
1,35860.0,1,1,37,15,0,8,4,2,20,2,1,1,2,5,49,0,2
1,36921.0,1,1,74,17,1,12,3,1,4,2,2,0,3,7,38,0,2
1,92859.0,0,0,46,962,61,921,52,61,20,1,5,4,12,2,2077,0,0
1,65104.0,0,1,4,738,0,232,13,20,50,2,3,5,7,7,1053,1,1
0,86111.0,0,0,73,399,28,756,36,40,126,1,5,7,10,2,1385,1,0
1,68352.0,0,1,47,614,16,132,43,33,33,3,8,5,9,6,871,0,1
0,41883.0,1,0,13,32,34,41,73,16,116,3,4,2,3,7,312,1,1
0,59809.0,0,2,36,598,16,141,32,41,49,3,3,3,6,8,877,1,2
0,23957.0,1,0,47,2,1,18,20,11,16,1,2,0,3,6,68,1,1
0,38547.0,1,0,49,6,1,10,0,1,4,1,1,0,2,8,22,1,1
2,35688.0,2,1,94,73,3,90,12,1,32,7,4,1,4,8,211,1,3
1,49605.0,0,0,65,42,16,29,12,20,8,1,2,1,4,3,127,1,0
1,59354.0,0,2,59,295,21,78,39,13,13,1,4,4,7,3,459,1,2
0,65747.0,0,1,96,346,17,48,23,13,13,4,8,1,6,6,460,1,1
2,46344.0,0,1,28,233,20,57,8,20,91,4,7,1,5,7,429,1,1
0,34176.0,1,0,12,5,7,24,19,14,20,4,3,0,4,6,89,0,1
1,61010.0,0,1,57,888,0,57,0,0,76,2,8,5,11,5,1021,1,1
0,69372.0,0,0,10,997,26,269,34,13,42,1,10,4,6,4,1381,1,0
0,49967.0,0,1,4,212,6,69,4,12,3,3,6,1,5,7,306,0,1
0,60199.0,1,2,49,8,1,7,2,0,0,1,0,0,3,4,18,0,3
0,55375.0,0,1,3,42,11,57,10,28,14,1,1,1,6,2,162,1,1
0,80317.0,0,0,64,536,11,387,149,91,57,1,3,4,10,1,1231,0,0
1,30523.0,2,1,0,5,0,3,0,0,5,1,1,0,2,7,13,0,3
1,70356.0,0,0,20,1349,16,249,43,16,33,2,10,6,9,6,1706,1,0
0,23228.0,1,0,91,53,3,49,7,4,5,4,3,0,4,8,121,1,1
1,74165.0,0,0,9,1001,12,240,16,12,12,1,5,4,10,2,1293,0,0
1,157243.0,0,1,98,20,2,1582,1,2,1,15,0,22,0,0,1608,1,1
0,43482.0,2,1,83,18,1,32,6,3,28,3,2,0,4,6,88,1,3
0,62551.0,0,0,27,125,16,98,134,21,27,1,6,7,4,3,421,0,0
0,52332.0,0,0,63,212,5,33,7,0,2,1,3,2,6,4,259,0,0
0,66951.0,0,0,46,277,162,305,173,76,124,1,3,4,7,1,1117,0,0
0,26091.0,1,1,84,15,10,19,8,17,20,3,2,1,3,5,89,1,2
0,33456.0,1,1,58,7,3,10,8,1,7,2,1,0,3,7,36,1,2
0,28718.0,1,0,78,12,4,6,11,8,16,2,2,0,3,8,57,1,1
0,50447.0,2,0,4,85,7,24,2,3,27,1,3,1,3,6,148,1,2
1,53537.0,1,1,17,81,0,6,0,0,6,2,2,1,3,5,93,1,2
0,52074.0,0,1,77,59,0,12,0,0,48,1,2,2,2,4,119,0,1
1,80427.0,0,1,56,1149,71,449,69,71,26,1,11,8,8,5,1835,1,1
1,83837.0,0,0,79,847,66,119,86,89,111,1,9,10,5,4,1318,1,0
1,38853.0,1,1,90,29,0,14,0,0,2,2,2,0,3,7,45,1,2
0,38285.0,2,1,96,2,0,5,2,0,1,1,0,0,3,2,10,1,3
2,78497.0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,978,1,0
1,51650.0,0,1,81,152,3,22,2,5,7,1,4,1,4,5,191,1,1
2,16248.0,1,0,77,12,11,10,3,12,9,3,2,1,3,6,57,1,1
1,66835.0,0,0,21,620,26,195,34,17,141,1,6,4,13,2,1033,1,0
1,30477.0,1,0,16,47,1,6,0,0,12,1,1,1,3,6,66,1,1
2,28249.0,0,0,80,1,9,7,2,14,10,1,2,0,3,6,43,1,0
0,25271.0,1,0,45,10,1,18,10,4,7,1,1,1,2,9,50,1,1
1,32303.0,0,1,63,35,0,2,0,0,2,2,1,0,4,5,39,0,1
0,61286.0,0,1,34,356,0,107,19,9,117,2,7,1,8,5,608,1,1
0,74068.0,0,0,14,783,30,537,140,76,15,1,4,10,9,2,1581,1,0
1,45759.0,1,1,13,42,1,18,3,0,4,2,2,0,3,7,68,1,2
2,24882.0,1,0,52,1,4,10,29,0,36,1,1,1,2,6,80,1,1
1,66973.0,0,0,98,466,22,432,147,113,102,1,8,7,12,3,1282,1,0
2,36640.0,1,0,99,15,6,8,7,4,25,1,2,1,2,5,65,0,1
0,38872.0,1,0,93,23,3,21,3,19,22,2,3,0,3,8,91,1,1
0,51148.0,1,1,38,235,6,45,8,9,12,4,5,1,6,6,315,1,2
0,31353.0,1,1,24,10,0,10,3,1,7,2,1,1,2,8,31,1,2
1,69661.0,0,0,80,656,16,106,32,16,8,1,7,3,12,3,834,1,0
0,80067.0,0,0,82,519,17,813,27,173,51,1,4,6,6,2,1600,1,0
0,86718.0,0,0,20,344,189,482,50,33,172,1,5,6,5,2,1270,1,0
1,46854.0,1,1,81,96,1,79,7,1,79,6,5,1,3,8,263,0,2
0,69142.0,0,1,50,448,4,34,6,4,39,3,8,1,7,5,535,0,1
0,75922.0,0,0,60,265,138,553,224,23,92,1,4,4,9,1,1295,0,0
0,63693.0,0,1,63,587,43,337,42,87,54,3,11,6,9,6,1150,0,1
1,102160.0,0,0,54,763,29,138,76,176,58,0,7,9,10,4,1240,1,0
1,40637.0,1,1,72,22,0,13,0,0,3,2,1,0,3,7,38,0,2
1,18890.0,0,0,5,6,4,1,7,2,15,1,0,1,2,6,35,0,0
0,29604.0,1,0,88,7,6,13,7,6,14,1,1,0,3,9,53,1,1
1,48721.0,1,1,50,81,18,113,47,13,21,6,4,2,5,6,293,0,2
0,44794.0,0,1,99,54,0,7,0,0,4,1,2,0,3,6,65,1,1
0,64497.0,0,1,17,1170,48,320,42,32,192,5,11,4,9,8,1804,0,1
0,46097.0,0,1,11,72,24,68,65,4,8,5,3,1,6,4,241,1,1
0,77972.0,0,0,18,613,22,319,33,102,12,1,4,6,9,1,1101,1,0
1,44377.0,1,1,70,224,0,30,0,0,10,8,5,1,5,8,264,1,2
1,46014.0,1,1,21,410,0,59,19,9,44,10,7,1,8,7,541,1,2
0,70951.0,0,0,66,239,10,554,254,87,54,1,3,4,9,1,1198,1,0
0,41443.0,1,0,79,171,7,171,25,19,89,6,8,1,5,8,482,1,1
2,52195.0,2,1,2,12,0,4,0,0,1,1,1,0,2,8,17,0,3
1,83790.0,0,0,81,1076,16,417,42,48,16,1,8,10,6,3,1615,1,0
1,44551.0,0,1,24,182,4,33,0,0,66,2,4,1,5,7,285,0,1
0,69508.0,1,0,48,824,32,162,42,32,43,2,11,4,11,6,1135,1,1
2,45204.0,1,0,93,30,11,25,29,1,18,1,1,1,4,3,114,1,1
0,72460.0,0,0,56,377,10,540,80,30,10,1,3,5,7,1,1047,1,0
1,77622.0,0,2,3,520,7,154,19,0,14,2,6,3,11,3,714,1,2
1,30732.0,1,0,44,155,1,25,0,1,3,4,4,1,4,8,185,1,1
0,63887.0,0,1,38,897,23,207,15,11,92,5,9,6,12,6,1245,0,1
0,42011.0,1,0,46,131,0,16,2,1,39,4,3,1,4,8,189,1,1
0,51369.0,0,1,84,297,7,79,0,11,182,2,8,2,4,8,576,1,1
0,51537.0,0,1,27,787,20,204,0,0,92,3,2,2,11,8,1103,0,1
1,79930.0,0,0,72,792,86,740,67,51,17,1,3,5,8,2,1753,1,0
1,34320.0,1,0,66,4,1,9,3,0,0,1,1,0,2,8,17,1,1
0,37070.0,1,1,30,231,7,137,4,15,39,9,5,1,8,7,433,0,2
2,81975.0,0,1,2,983,76,184,180,138,27,1,6,3,4,7,1588,0,1
0,38590.0,1,0,65,3,1,8,4,3,3,1,1,0,2,8,22,1,1
0,15033.0,0,0,37,0,4,5,6,0,4,1,1,0,3,3,19,0,0
1,62745.0,0,1,89,562,21,464,28,10,32,3,7,8,11,5,1117,1,1
2,22212.0,1,0,49,5,9,20,6,8,21,2,2,0,4,6,69,1,1
1,23661.0,1,0,46,18,0,4,0,0,1,1,1,0,3,7,23,1,1
1,79761.0,0,1,32,415,5,124,15,35,11,1,5,2,11,3,605,0,1
0,7500.0,1,0,54,5,3,10,12,7,20,4,3,1,3,7,57,0,1
2,60182.0,0,1,23,8,0,5,7,0,2,1,1,0,2,4,22,0,1
0,73455.0,0,0,98,901,61,757,186,163,20,1,6,5,10,3,2088,0,0
0,64961.0,0,1,97,382,114,276,75,124,38,2,6,4,4,3,1009,1,1
0,22804.0,1,0,75,14,1,7,2,1,1,1,2,0,2,9,26,0,1
0,73687.0,0,0,8,559,153,503,218,13,181,1,3,9,9,2,1627,1,0
0,61074.0,0,1,37,789,0,133,0,28,152,7,11,5,8,7,1102,1,1
1,31686.0,1,1,31,11,0,5,0,0,1,2,1,0,3,6,17,1,2
0,80134.0,1,0,40,1218,16,272,104,0,80,2,5,3,6,6,1690,1,1
0,75027.0,0,1,74,925,64,179,133,12,77,2,9,4,6,5,1390,1,1
1,67546.0,0,0,90,864,134,768,150,38,172,1,4,10,5,3,2126,1,0
1,65176.0,0,1,57,960,28,183,220,70,70,4,9,6,6,6,1531,1,1
1,31160.0,1,0,59,16,3,25,6,1,13,2,2,0,3,8,64,0,1
0,29938.0,1,0,52,3,3,7,0,2,11,2,1,0,3,6,26,0,1
0,102692.0,0,0,5,168,148,444,32,172,148,1,6,9,13,2,1112,0,0
2,26490.0,0,0,92,45,47,52,21,20,25,2,3,1,5,6,210,1,0
0,75702.0,1,1,77,650,28,353,45,42,30,5,4,6,11,8,1148,1,2
1,30899.0,1,0,35,24,0,8,0,0,1,2,1,0,3,6,33,0,1
1,63342.0,0,1,48,918,21,118,13,10,21,3,8,3,5,6,1101,1,1
0,45989.0,0,1,97,138,33,87,28,24,12,4,3,2,7,3,322,0,1
0,18701.0,1,1,95,12,4,2,10,6,10,4,2,0,4,5,44,0,2
1,40737.0,2,1,24,11,0,4,0,0,2,1,1,0,2,8,17,0,3
0,15287.0,1,0,60,1,2,8,4,3,13,2,1,1,2,7,31,0,1
1,69674.0,0,2,46,554,41,215,11,0,24,3,10,2,10,5,845,0,2
1,44159.0,1,0,85,167,2,62,24,13,7,4,4,1,6,5,275,1,1
1,37717.0,1,0,31,9,0,6,4,1,5,1,1,0,2,9,25,1,1
1,43776.0,1,1,9,177,2,71,3,2,20,6,5,2,4,8,275,1,2
1,38179.0,1,1,30,38,4,22,4,2,20,4,3,1,3,7,90,1,2
0,80124.0,0,0,47,483,84,398,205,84,241,1,3,7,8,1,1495,1,0
1,38097.0,1,1,70,77,2,35,0,1,69,4,3,2,2,7,184,1,2
0,72940.0,0,0,13,182,74,298,162,149,116,1,3,3,6,1,981,1,0
0,22070.0,1,0,11,10,7,19,8,2,21,2,2,2,2,6,67,1,1
0,69267.0,0,0,31,778,44,499,95,73,146,2,3,4,5,7,1635,0,0
1,31788.0,1,0,15,16,7,23,0,8,6,3,3,0,4,5,60,0,1
1,61905.0,0,1,2,167,0,43,6,2,13,2,4,2,4,5,231,1,1
0,29315.0,1,1,55,13,2,14,8,7,4,4,2,0,4,6,48,1,2
0,33378.0,1,1,38,33,6,40,3,7,10,3,2,0,4,7,99,0,2
1,66313.0,0,1,86,625,7,99,10,22,7,2,6,3,12,4,770,1,1
0,60714.0,0,0,56,216,162,224,101,92,162,2,7,4,10,5,957,0,0
1,77882.0,0,0,29,68,129,396,188,22,15,1,3,3,5,1,818,1,0
1,69867.0,0,0,30,196,0,512,33,130,54,1,3,5,8,1,925,0,0
1,63841.0,0,1,64,635,15,100,20,7,131,1,9,3,9,6,908,0,1
2,24480.0,1,0,46,4,19,9,28,25,17,3,3,0,4,7,102,1,1
0,51369.0,0,1,84,297,7,79,0,11,182,2,8,2,4,8,576,1,1
0,37760.0,0,0,20,84,5,38,150,12,28,2,4,1,6,7,317,1,0
1,65640.0,0,1,74,204,7,149,20,15,66,1,5,1,8,2,461,1,1
1,44319.0,1,1,18,26,0,8,0,0,3,2,2,0,3,5,37,1,2
0,30631.0,1,0,75,15,6,20,4,5,20,1,3,1,2,7,70,1,1
0,75278.0,0,0,17,304,98,230,150,74,74,1,6,3,13,3,930,1,0
1,50898.0,1,1,88,285,28,242,55,114,135,13,6,2,12,5,859,1,2
0,79946.0,0,0,19,395,183,565,166,141,28,1,5,11,5,3,1478,0,0
1,35416.0,0,0,62,248,3,81,4,3,51,3,7,1,5,8,390,0,0
2,32414.0,0,0,11,20,6,5,0,9,12,1,1,0,3,7,52,1,0
0,38361.0,1,0,74,39,0,56,20,8,14,3,3,1,3,7,137,1,1
0,82497.0,0,0,32,777,129,573,216,21,203,1,2,7,9,4,1919,1,0
0,16626.0,2,0,76,8,3,22,21,1,13,3,3,0,3,9,68,1,2
0,29672.0,1,1,6,9,1,3,0,4,8,1,0,0,3,6,25,1,2
1,55951.0,0,1,62,1241,0,80,0,13,40,3,3,6,11,8,1374,1,1
2,35388.0,1,0,20,6,4,7,4,3,8,1,1,0,3,7,32,0,1
1,42386.0,1,0,43,65,4,16,0,4,11,1,3,0,3,8,100,1,1
0,68627.0,0,0,45,395,15,263,60,54,38,1,2,3,6,1,825,0,0
1,57912.0,0,1,34,801,0,80,0,0,35,5,8,3,12,5,916,0,1
0,35246.0,1,1,53,36,0,12,2,2,10,4,3,1,3,5,62,0,2
2,58821.0,0,1,44,513,14,154,19,0,28,1,9,2,9,6,728,1,1
1,46377.0,1,0,89,37,0,46,4,3,0,1,2,1,3,4,90,1,1
0,39747.0,1,0,43,80,15,93,20,13,52,3,5,1,4,8,273,0,1
0,23976.0,1,0,68,14,1,21,2,3,25,3,3,1,3,7,66,1,1
1,80950.0,0,0,44,525,147,112,219,147,63,1,6,7,9,2,1213,1,0
0,27038.0,0,0,64,1,26,25,17,23,15,1,3,0,3,9,107,0,0
0,77457.0,0,0,85,675,11,400,15,45,11,1,2,5,10,1,1157,0,0
1,64100.0,0,1,93,509,0,27,0,0,10,1,8,3,6,7,546,1,1
1,42670.0,0,0,12,154,2,46,20,4,15,1,4,2,4,4,241,1,0
0,12571.0,1,0,86,3,5,14,2,12,17,4,3,1,3,6,53,0,1
0,22574.0,2,1,28,25,0,8,2,0,2,2,2,0,3,7,37,1,3
1,70893.0,0,0,42,768,44,561,77,44,14,1,6,6,10,3,1508,0,0
0,54198.0,1,1,13,185,0,28,3,2,17,6,3,1,6,4,235,1,2
1,28839.0,1,1,86,24,0,7,0,0,1,2,2,0,3,5,32,1,2
0,40321.0,1,1,59,44,4,21,6,0,27,2,3,0,3,7,102,1,2
0,66503.0,1,0,30,91,64,128,65,3,50,2,4,3,6,3,401,0,1
0,30833.0,1,1,33,11,0,7,3,1,6,2,1,0,3,5,28,1,2
0,64795.0,0,1,23,412,5,119,38,29,77,3,3,3,12,2,680,1,1
0,34421.0,1,0,81,3,3,7,6,2,9,1,1,0,2,7,30,1,1
1,47025.0,1,1,6,16,0,3,0,0,1,1,1,0,2,7,20,0,2
1,64325.0,0,1,41,731,60,353,78,12,73,5,10,3,5,7,1307,0,1
0,40464.0,0,1,78,424,17,118,7,23,41,6,8,2,8,8,630,0,1
0,62187.0,0,0,49,792,0,275,45,45,126,1,4,8,5,3,1283,1,0
1,14849.0,1,0,39,21,2,28,3,2,9,3,2,0,4,8,65,0,1
0,27255.0,1,0,3,22,1,11,0,1,2,1,1,0,3,7,37,1,1
1,54432.0,2,1,37,33,0,5,0,0,0,1,1,0,3,4,38,1,3
1,29999.0,1,0,22,68,7,59,10,5,11,4,3,1,4,8,160,0,1
0,24072.0,1,0,79,9,1,6,3,0,4,1,1,0,2,8,23,0,1
1,33996.0,0,0,46,40,2,15,8,0,6,1,1,1,3,4,71,0,0
1,66334.0,0,1,82,909,11,218,0,0,23,2,9,3,5,5,1161,1,1
1,35178.0,1,0,10,23,1,13,2,2,18,1,1,1,2,7,59,1,1
0,22010.0,1,0,51,11,2,9,3,0,8,2,2,0,3,8,33,1,1
0,62204.0,0,2,38,317,46,247,151,46,139,1,4,5,12,3,946,0,2
0,75693.0,0,0,10,797,153,293,72,97,30,1,11,4,6,4,1442,0,0
0,30675.0,1,0,14,10,2,16,11,2,21,1,1,0,3,8,62,1,1
0,83003.0,0,0,18,856,61,570,40,25,122,1,7,6,8,3,1674,1,0
1,83532.0,0,0,36,755,144,562,104,64,224,1,4,6,4,1,1853,1,0
0,68655.0,0,0,95,456,19,832,75,118,38,1,4,5,11,3,1538,0,0
0,41411.0,0,0,11,37,32,38,11,3,18,1,2,1,4,6,139,0,0
1,55212.0,0,1,65,1103,0,45,0,0,34,3,4,2,11,8,1182,1,1
1,59292.0,0,1,71,378,14,68,19,14,14,2,3,5,8,3,507,1,1
2,27190.0,1,0,13,1,6,7,0,1,3,1,1,0,2,8,18,1,1
0,82623.0,0,0,58,204,34,204,172,153,173,1,2,9,4,1,940,0,0
